ri_accession	Total alleles	HopFreq	NoHop Freq	lat	long
RIMME0006	2	0	1	24.1833	-104.4
RIMME0007	2			20.1333	-101.1
RIMME0008	2	0	1	19.7	-100.567
RIMME0009				19.5167	-98.8
RIMME0011	2	0	1	19.3667	-98.9667
RIMME0017	8	0	1	20.4206	-102.347
RIMME0021	53	0.169811321	0.830188679	19.6789	-100.64
RIMME0026	24	0.041666667	0.958333333	19.4181	-101.613
RIMME0028	24	0.041666667	0.958333333	20.1076	-101.49
RIMME0029	35	0	1	20.1683	-102.373
RIMME0030	27	0	1	19.0886	-98.4935
RIMME0031	25	0.08	0.92	19.1197	-99.5896
RIMME0032	24	0	1	26.2465	-106.915
RIMME0033	25	0	1	18.9725	-99.0298
RIMME0034	22	0	1	19.4184	-101.642
RIMME0035	23	0	1	19.2861	-99.0827
RIMPA0001	4	0	1	17.4	-99.4
RIMPA0003	8	0.125	0.875	17.43333333	-99.46666667
RIMPA0019	2	0.5	0.5	17.4	-99.4
RIMPA0035	4	0	1	19.55	-104.05
RIMPA0040	4	0	1	18.8333	-100.167
RIMPA0042	4	0.25	0.75	18.35	-99.85
RIMPA0043	4	0	1	18.35	-99.85
RIMPA0045	4	0	1	18.3333	-100.317
RIMPA0060	2	0	1	18.3833333	-99.9
RIMPA0061	4	0.5	0.5	18.21666667	-99.23333333
RIMPA0068	4	0	1	20.6286	-104.42
RIMPA0069	2	0	1	20.1533	-102.364
RIMPA0070	2	0	1	19.2811	-100.434
RIMPA0071	26	0	1	19.2308	-100.491
RIMPA0072	2	0	1	18.8619	-100.844
RIMPA0073	4	0.5	0.5	18.8583	-100.857
RIMPA0074	2	0	1	18.82	-100.916
RIMPA0075				18.8047	-100.946
RIMPA0076	4	0	1	18.7939	-100.946
RIMPA0077	2	0	1	18.8828	-100.957
RIMPA0078	2	0.5	0.5	18.9375	-101.048
RIMPA0079	14	0	1	19.1611	-101.329
RIMPA0080	12	0	1	20.675	-104.509
RIMPA0081	16	0	1	20.6108	-104.226
RIMPA0083	14	0	1	18.975	-99.0303
RIMPA0084	16	0	1	18.9706	-99.0536
RIMPA0085	16	0	1	16.3239	-97.0325
RIMPA0086	14	0.071428571	0.928571429	16.3492	-97.0208
RIMPA0087	16	0	1	16.9822	-99.2831
RIMPA0089	12	0	1	17.2867	-99.4831
RIMPA0090	10	0	1	17.2958	-99.4731
RIMPA0091	16	0	1	17.3653	-99.4817
RIMPA0092	10	0	1	17.3864	-99.4767
RIMPA0093	26	0.076923077	0.923076923	17.4067	-99.4431
RIMPA0094	2	0	1	18.5047	-99.7844
RIMPA0095	4	0	1	18.4856	-99.7917
RIMPA0096	26	0.038461538	0.961538462	18.3564	-99.8139
RIMPA0097	6	0	1	18.4139	-99.9094
RIMPA0098	4	0	1	18.4167	-99.9675
RIMPA0099	4	0	1	18.4508	-99.9261
RIMPA0100	6	0	1	18.4339	-99.9456
RIMPA0101	2	0	1	18.2506	-99.2328
RIMPA0103	2	0	1	18.2583	-99.2158
RIMPA0104	22	0.090909091	0.909090909	18.2256	-99.2125
RIMPA0105	6	0	1	18.3503	-99.8414
RIMPA0106	6	0.333333333	0.666666667	18.3878	-100.128
RIMPA0107	4	0	1	18.3939	-100.108
RIMPA0108	6	0	1	18.3828	-100.145
RIMPA0109	4	0.25	0.75	19.0631	-101.283
RIMPA0110	2	0	1	19.0589	-101.214
RIMPA0111	4	0	1	19.0631	-101.193
RIMPA0112	4	0.25	0.75	18.9631	-101.058
RIMPA0114	6	0.166666667	0.833333333	18.9158	-101
RIMPA0116	2	0	1	18.7917	-100.344
RIMPA0117	4	0	1	18.8419	-100.238
RIMPA0118	6	0.166666667	0.833333333	18.8992	-100.181
RIMPA0119	2	0	1	18.8947	-100.209
RIMPA0120	1	1	0	18.8539	-100.239
RIMPA0121	2	0	1	18.8114	-100.298
RIMPA0128	2	0.5	0.5	19.1464	-100.329
RIMPA0129	2	0.5	0.5	19.4636	-100.912
RIMPA0135	24	0	1	20.8194	-104.414
RIMPA0138	2	0.5	0.5	19.7042	-104.819
RIMPA0139	1	1	0	19.7586	-104.85
RIMPA0142	18	0.444444444	0.555555556	19.4408	-103.984
RIMPA0144	2	1	0	19.9122	-104.11
RIMPA0145	1	1	0	19.3714	-101.931
RIMPA0147	1	1	0	19.9117	-104.11
RIMPA0155	73	0.01369863	0.98630137	19.8959	-104.18
RIMPA0156	20	0	1	19.9118	-104.113
RIMPA0157	58	0.344827586	0.655172414	19.9577	-104.05
RIMPA0158	64	0.53125	0.46875	19.9472	-103.995
RIMPA0159	26	0	1	19.8679	-104.05
