ri_accession	Total alleles	HopFreq	NoHop Freq	lat	long
RIMPA0081	16	0	1	20.6108	-104.226
RIMPA0084	16	0	1	18.9706	-99.0536
RIMPA0085	16	0	1	16.3239	-97.0325
RIMPA0087	16	0	1	16.9822	-99.2831
RIMPA0091	16	0	1	17.3653	-99.4817
RIMPA0142	18	0.444444444	0.555555556	19.4408	-103.984
RIMPA0156	20	0	1	19.9118	-104.113
RIMME0034	22	0	1	19.4184	-101.642
RIMPA0104	22	0.090909091	0.909090909	18.2256	-99.2125
RIMME0035	23	0	1	19.2861	-99.0827
RIMME0026	24	0.041666667	0.958333333	19.4181	-101.613
RIMME0028	24	0.041666667	0.958333333	20.1076	-101.49
RIMME0032	24	0	1	26.2465	-106.915
RIMPA0135	24	0	1	20.8194	-104.414
RIMME0031	25	0.08	0.92	19.1197	-99.5896
RIMME0033	25	0	1	18.9725	-99.0298
RIMPA0071	26	0	1	19.2308	-100.491
RIMPA0093	26	0.076923077	0.923076923	17.4067	-99.4431
RIMPA0096	26	0.038461538	0.961538462	18.3564	-99.8139
RIMPA0159	26	0	1	19.8679	-104.05
RIMME0030	27	0	1	19.0886	-98.4935
RIMME0029	35	0	1	20.1683	-102.373
RIMME0021	53	0.169811321	0.830188679	19.6789	-100.64
RIMPA0157	58	0.344827586	0.655172414	19.9577	-104.05
RIMPA0158	64	0.53125	0.46875	19.9472	-103.995
RIMPA0155	73	0.01369863	0.98630137	19.8959	-104.18
